,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,7.39605821029349,7.59343904112364,0.171698718859472,365000000,8.56229286445648,365000000,0,60,
,A02,SYBR,,Std-01,,,7.67597223606039,7.59343904112364,0.171698718859472,365000000,8.56229286445648,365000000,0,60,
,A03,SYBR,,Std-01,,,7.70828667701703,7.59343904112364,0.171698718859472,365000000,8.56229286445648,365000000,0,60,
,A04,SYBR,,Unkn-01,,,23.5012119389701,23.4372697362952,0.101496568552908,21373.3984211822,4.32987358151004,22290.7515868825,1462.69688040748,60,
,A05,SYBR,,Unkn-01,,,23.4903580228336,23.4372697362952,0.101496568552908,21521.2874852064,4.33286824891792,22290.7515868825,1462.69688040748,60,
,A06,SYBR,,Unkn-01,,,23.3202392470818,23.4372697362952,0.101496568552908,23977.5688542589,4.37980514679014,22290.7515868825,1462.69688040748,60,
,A07,SYBR,,Unkn-09,,,23.4813674126652,23.4806232787995,0.042693319285472,21644.5627982185,4.33534881785817,21660.1093716974,587.641286516067,60,
,A08,SYBR,,Unkn-09,,,23.5229396670999,23.4806232787995,0.042693319285472,21080.3956290838,4.32387875729552,21660.1093716974,587.641286516067,60,
,A09,SYBR,,Unkn-09,,,23.4375627566333,23.4806232787995,0.042693319285472,22255.3696877899,4.34743481281911,21660.1093716974,587.641286516067,60,
,A10,SYBR,,Unkn-17,,,26.4989562952089,26.384634412255,0.230840532876075,3182.55591715876,3.50277604289919,3447.55315342315,524.410584022853,60,
,A11,SYBR,,Unkn-17,,,26.1189423413827,26.384634412255,0.230840532876075,4051.57993531056,3.60762441170465,3447.55315342315,524.410584022853,60,
,A12,SYBR,,Unkn-17,,,26.5360046001735,26.384634412255,0.230840532876075,3108.52360780013,3.49255416998257,3447.55315342315,524.410584022853,60,
,B01,SYBR,,Std-02,,,12.0285304985355,12.011972716924,0.0306585407206472,36500000,7.56229286445647,36500000,0,60,
,B02,SYBR,,Std-02,,,12.0307922766312,12.011972716924,0.0306585407206472,36500000,7.56229286445647,36500000,0,60,
,B03,SYBR,,Std-02,,,11.9765953756054,12.011972716924,0.0306585407206472,36500000,7.56229286445647,36500000,0,60,
,B04,SYBR,,Unkn-02,,,24.0763931144641,24.0566577864416,0.0757459103454339,14831.2338472173,4.17117728256904,15030.0182855031,729.359345072195,60,
,B05,SYBR,,Unkn-02,,,24.1205826054822,24.0566577864416,0.0757459103454339,14420.6590569821,4.15898510908452,15030.0182855031,729.359345072195,60,
