Well,Content,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,SampleID,Plate,Date,Dilution,ul_dna_eluted,mL_sample,calc_qty,per_ul_dna,copies_in_dna,copies_per_g_sample,avg_copies_per_g_sample,avg_std
A04,Unkn-01,14.9857774509756,14.9612080477913,0.107101616357887,3802770.68949562,6.58010013785195,3867800.79254727,262948.409448646,CC-3-20W,4,11-Mar-25,0.1,100,120.0,3802770.6894955295,19013853.447477646,1901385344.7477646,15844877.872898038,16115836.635613455,1095618.3727025772
A05,Unkn-01,14.8439566155325,14.9612080477913,0.107101616357887,4157162.45258563,6.61879699609221,3867800.79254727,262948.409448646,CC-3-20W,4,11-Mar-25,0.1,100,120.0,4157162.452585577,20785812.262927882,2078581226.2927883,17321510.21910657,16115836.635613455,1095618.3727025772
A06,Unkn-01,15.0538900768658,14.9612080477913,0.107101616357887,3643469.23556056,6.56151510681465,3867800.79254727,262948.409448646,CC-3-20W,4,11-Mar-25,0.1,100,120.0,3643469.2355605816,18217346.177802905,1821734617.7802906,15181121.814835755,16115836.635613455,1095618.3727025772
A07,Unkn-09,14.9208687226792,14.9142111725594,0.0440871890981277,3961055.81314606,6.59781096186165,3978678.17540655,110531.962011485,INF25,4,11-Mar-25,0.1,100,250.0,3961055.813146031,19805279.065730155,1980527906.5730155,7922111.626292062,7957356.35081301,221063.92402296982
A08,Unkn-09,14.9545909551557,14.9142111725594,0.0440871890981277,3878016.05436966,6.58860960265649,3978678.17540655,110531.962011485,INF25,4,11-Mar-25,0.1,100,250.0,3878016.054369599,19390080.271847993,1939008027.1847992,7756032.108739196,7957356.35081301,221063.92402296982
A09,Unkn-09,14.8671738398435,14.9142111725594,0.0440871890981277,4096962.65870395,6.61246200564396,3978678.17540655,110531.962011485,INF25,4,11-Mar-25,0.1,100,250.0,4096962.6587038864,20484813.29351943,2048481329.351943,8193925.317407772,7957356.35081301,221063.92402296982
A10,Unkn-17,13.2708691902041,13.0613829764592,0.21669562919082,11169287.5622281,7.04802547234026,12819644.2763996,1752440.34384876,INF27,4,11-Mar-25,0.1,100,200.0,11169287.562228063,55846437.811140314,5584643781.114032,27923218.90557016,32049110.69099934,4381100.859622185
A11,Unkn-17,12.8381340030715,13.0613829764592,0.21669562919082,14658868.5869512,7.1661004515189,12819644.2763996,1752440.34384876,INF27,4,11-Mar-25,0.1,100,200.0,14658868.586951451,73294342.93475725,7329434293.475725,36647171.467378624,32049110.69099934,4381100.859622185
A12,Unkn-17,13.0751457361019,13.0613829764592,0.21669562919082,12630776.6800194,7.10143005661041,12819644.2763996,1752440.34384876,INF27,4,11-Mar-25,0.1,100,200.0,12630776.680019693,63153883.400098465,6315388340.009847,31576941.700049233,32049110.69099934,4381100.859622185
B04,Unkn-02,13.3304291221871,13.4256159648268,0.0854248643780759,10759054.4830017,7.03177410675251,10144288.345779,550113.832012238,WC-4-20W,4,11-Mar-25,0.1,100,140.0,10759054.483001739,53795272.415008694,5379527241.50087,38425194.582149066,36229601.23492578,1964692.2571858985
B05,Unkn-02,13.4956148809017,13.4256159648268,0.0854248643780759,9698441.65174789,6.98670195731608,10144288.345779,550113.832012238,WC-4-20W,4,11-Mar-25,0.1,100,140.0,9698441.651748283,48492208.25874141,4849220825.874141,34637291.61338672,36229601.23492578,1964692.2571858985
B06,Unkn-02,13.4508038913917,13.4256159648268,0.0854248643780759,9975368.90258739,6.99892896545108,10144288.345779,550113.832012238,WC-4-20W,4,11-Mar-25,0.1,100,140.0,9975368.902587635,49876844.51293817,4987684451.2938175,35626317.50924155,36229601.23492578,1964692.2571858985
B07,Unkn-10,12.8676249623182,12.9852460452619,0.157902684033161,14389762.5094297,7.15805362634138,13407878.7907774,1295434.07668451,WC-4-26W,4,11-Mar-25,0.1,100,100.0,14389762.509430246,71948812.54715122,7194881254.715122,71948812.54715122,67039393.95388905,6477170.383423784
B08,Unkn-10,13.1647098844933,12.9852460452619,0.157902684033161,11939656.1533124,7.07699181985288,13407878.7907774,1295434.07668451,WC-4-26W,4,11-Mar-25,0.1,100,100.0,11939656.153312556,59698280.76656278,5969828076.656279,59698280.76656279,67039393.95388905,6477170.383423784
B09,Unkn-10,12.9234032889743,12.9852460452619,0.157902684033161,13894217.7095901,7.14283409958605,13407878.7907774,1295434.07668451,WC-4-26W,4,11-Mar-25,0.1,100,100.0,13894217.709590629,69471088.54795314,6947108854.795315,69471088.54795314,67039393.95388905,6477170.383423784
B10,Unkn-18,10.4703707925101,10.5345699089103,0.14813797523003,64887652.3715271,7.81216206171408,62499632.4279438,5666505.97984565,CC-1-29W,4,11-Mar-25,0.1,100,50.0,64887652.37152893,324438261.8576446,32443826185.76446,648876523.7152892,624996324.279467,56665059.79845786
B11,Unkn-18,10.4293606371128,10.5345699089103,0.14813797523003,66581256.1224916,7.82335198430098,62499632.4279438,5666505.97984565,CC-1-29W,4,11-Mar-25,0.1,100,50.0,66581256.122495405,332906280.612477,33290628061.2477,665812561.224954,624996324.279467,56665059.79845786
B12,Unkn-18,10.7039782971081,10.5345699089103,0.14813797523003,56029988.7898129,7.74842053557621,62499632.4279438,5666505.97984565,CC-1-29W,4,11-Mar-25,0.1,100,50.0,56029988.78981575,280149943.94907874,28014994394.907875,560299887.8981575,624996324.279467,56665059.79845786
C04,Unkn-03,14.4092465375788,14.1039363376864,0.279762159390466,5462743.87503102,6.73741083875945,6684926.57338913,1138197.85264984,WC-5-20W,4,11-Mar-25,0.1,100,125.0,5462743.8750311425,27313719.37515571,2731371937.515571,21850975.50012457,26739706.29355718,4552791.410599752
C05,Unkn-03,13.859869382885,14.1039363376864,0.279762159390466,7714582.66147041,6.88731243685115,6684926.57338913,1138197.85264984,WC-5-20W,4,11-Mar-25,0.1,100,125.0,7714582.661470753,38572913.307353765,3857291330.7353764,30858330.645883013,26739706.29355718,4552791.410599752
C06,Unkn-03,14.0426930925954,14.1039363376864,0.279762159390466,6877453.18366595,6.83742764273388,6684926.57338913,1138197.85264984,WC-5-20W,4,11-Mar-25,0.1,100,125.0,6877453.18366599,34387265.91832995,3438726591.8329945,27509812.734663956,26739706.29355718,4552791.410599752
